Career Cluster,Career Pathway,Code,Occupation
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-1031.03,Park Naturalists
"Agriculture, Food and Natural Resources",Natural Resources Systems,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
"Agriculture, Food and Natural Resources",Natural Resources Systems,51-8099.00,"Plant and System Operators, All Other"
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-4099.02,Precision Agriculture Technicians
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-1031.02,Range Managers
"Agriculture, Food and Natural Resources",Natural Resources Systems,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Natural Resources Systems,39-9032.00,Recreation Workers
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7081.00,Refuse and Recyclable Material Collectors
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5051.00,"Rock Splitters, Quarry"
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5061.00,"Roof Bolters, Mining"
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5012.00,"Rotary Drill Operators, Oil and Gas"
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5071.00,"Roustabouts, Oil and Gas"
"Agriculture, Food and Natural Resources",Natural Resources Systems,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-5021.01,Ship and Boat Captains
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-1031.01,Soil and Water Conservationists
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7121.00,"Tank Car, Truck, and Ship Loaders"
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7073.00,Wellhead Pumpers
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-1023.00,Zoologists and Wildlife Biologists
"Agriculture, Food and Natural Resources",Plant Systems,19-4011.00,Agricultural and Food Science Technicians
"Agriculture, Food and Natural Resources",Plant Systems,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Plant Systems,19-4011.01,Agricultural Technicians
"Agriculture, Food and Natural Resources",Plant Systems,19-1011.00,Animal Scientists
"Agriculture, Food and Natural Resources",Plant Systems,11-9013.03,Aquacultural Managers
"Agriculture, Food and Natural Resources",Plant Systems,19-1021.00,Biochemists and Biophysicists
"Agriculture, Food and Natural Resources",Plant Systems,19-3011.00,Economists
"Agriculture, Food and Natural Resources",Plant Systems,25-9021.00,Farm and Home Management Advisors
"Agriculture, Food and Natural Resources",Plant Systems,11-9013.02,Farm and Ranch Managers
"Agriculture, Food and Natural Resources",Plant Systems,49-3041.00,Farm Equipment Mechanics and Service Technicians
"Agriculture, Food and Natural Resources",Plant Systems,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
"Agriculture, Food and Natural Resources",Plant Systems,45-2092.02,"Farmworkers and Laborers, Crop"
"Agriculture, Food and Natural Resources",Plant Systems,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
"Agriculture, Food and Natural Resources",Plant Systems,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
"Agriculture, Food and Natural Resources",Plant Systems,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
"Agriculture, Food and Natural Resources",Plant Systems,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
"Agriculture, Food and Natural Resources",Plant Systems,45-1011.06,First-Line Supervisors of Aquacultural Workers
"Agriculture, Food and Natural Resources",Plant Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"Agriculture, Food and Natural Resources",Plant Systems,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
"Agriculture, Food and Natural Resources",Plant Systems,45-1011.05,First-Line Supervisors of Logging Workers
"Agriculture, Food and Natural Resources",Plant Systems,41-1011.00,First-Line Supervisors of Retail Sales Workers
"Agriculture, Food and Natural Resources",Plant Systems,27-1023.00,Floral Designers
"Agriculture, Food and Natural Resources",Plant Systems,19-4011.02,Food Science Technicians
"Agriculture, Food and Natural Resources",Plant Systems,19-1012.00,Food Scientists and Technologists
"Agriculture, Food and Natural Resources",Plant Systems,19-1032.00,Foresters
"Agriculture, Food and Natural Resources",Plant Systems,37-3019.00,"Grounds Maintenance Workers, All Other"
"Agriculture, Food and Natural Resources",Plant Systems,37-3011.00,Landscaping and Groundskeeping Workers
"Agriculture, Food and Natural Resources",Plant Systems,11-9013.01,Nursery and Greenhouse Managers
"Agriculture, Food and Natural Resources",Plant Systems,45-2092.01,Nursery Workers
"Agriculture, Food and Natural Resources",Plant Systems,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
"Agriculture, Food and Natural Resources",Plant Systems,41-2031.00,Retail Salespersons
"Agriculture, Food and Natural Resources",Plant Systems,19-1013.00,Soil and Plant Scientists
"Agriculture, Food and Natural Resources",Plant Systems,19-1031.01,Soil and Water Conservationists
"Agriculture, Food and Natural Resources",Plant Systems,37-3013.00,Tree Trimmers and Pruners
"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems",45-2091.00,Agricultural Equipment Operators
"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems",25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems",49-3011.00,Aircraft Mechanics and Service Technicians
"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems",49-3041.00,Farm Equipment Mechanics and Service Technicians
"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems",49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems",41-2022.00,Parts Salespersons
Architecture and Construction,Construction,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
Architecture and Construction,Construction,47-2021.00,Brickmasons and Blockmasons
Architecture and Construction,Construction,47-2031.00,Carpenters
Architecture and Construction,Construction,47-2041.00,Carpet Installers
Architecture and Construction,Construction,47-2051.00,Cement Masons and Concrete Finishers
Architecture and Construction,Construction,53-2012.00,Commercial Pilots
Architecture and Construction,Construction,47-4011.00,Construction and Building Inspectors
Architecture and Construction,Construction,47-4099.00,"Construction and Related Workers, All Other"
Architecture and Construction,Construction,47-2031.01,Construction Carpenters
Architecture and Construction,Construction,47-2061.00,Construction Laborers
Architecture and Construction,Construction,11-9021.00,Construction Managers
Architecture and Construction,Construction,47-5041.00,Continuous Mining Machine Operators
Architecture and Construction,Construction,53-7011.00,Conveyor Operators and Tenders
Architecture and Construction,Construction,13-1051.00,Cost Estimators
Architecture and Construction,Construction,53-7021.00,Crane and Tower Operators
Architecture and Construction,Construction,47-5011.00,"Derrick Operators, Oil and Gas"
Architecture and Construction,Construction,53-7031.00,Dredge Operators
Architecture and Construction,Construction,47-2081.00,Drywall and Ceiling Tile Installers
Architecture and Construction,Construction,47-5021.00,"Earth Drillers, Except Oil and Gas"
Architecture and Construction,Construction,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Architecture and Construction,Construction,49-9051.00,Electrical Power-Line Installers and Repairers
Architecture and Construction,Construction,47-2111.00,Electricians
Architecture and Construction,Construction,51-2023.00,Electromechanical Equipment Assemblers
Architecture and Construction,Construction,47-4021.00,Elevator Installers and Repairers
Architecture and Construction,Construction,17-3029.00,"Engineering Technicians, Except Drafters, All Other"
Architecture and Construction,Construction,53-7032.00,Excavating and Loading Machine and Dragline Operators
Architecture and Construction,Construction,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
Architecture and Construction,Construction,47-5099.00,"Extraction Workers, All Other"
Architecture and Construction,Construction,47-4031.00,Fence Erectors
Architecture and Construction,Construction,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
Architecture and Construction,Construction,53-2031.00,Flight Attendants
Architecture and Construction,Construction,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Architecture and Construction,Construction,47-2043.00,Floor Sanders and Finishers
Architecture and Construction,Construction,47-2121.00,Glaziers
Architecture and Construction,Construction,47-4041.00,Hazardous Materials Removal Workers
Architecture and Construction,Construction,49-9021.01,Heating and Air Conditioning Mechanics and Installers
Architecture and Construction,Construction,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Architecture and Construction,Construction,47-3019.00,"Helpers, Construction Trades, All Other"
Architecture and Construction,Construction,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Architecture and Construction,Construction,47-3012.00,Helpers--Carpenters
Architecture and Construction,Construction,47-3013.00,Helpers--Electricians
Architecture and Construction,Construction,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
Architecture and Construction,Construction,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Architecture and Construction,Construction,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Architecture and Construction,Construction,47-3016.00,Helpers--Roofers
Architecture and Construction,Construction,47-4051.00,Highway Maintenance Workers
Architecture and Construction,Construction,53-7041.00,Hoist and Winch Operators
Architecture and Construction,Construction,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Architecture and Construction,Construction,47-2132.00,"Insulation Workers, Mechanical"
Architecture and Construction,Construction,49-9071.00,"Maintenance and Repair Workers, General"
Architecture and Construction,Construction,49-9095.00,Manufactured Building and Mobile Home Installers
Architecture and Construction,Construction,47-5042.00,Mine Cutting and Channeling Machine Operators
Architecture and Construction,Construction,47-5049.00,"Mining Machine Operators, All Other"
Architecture and Construction,Construction,47-2073.00,Operating Engineers and Other Construction Equipment Operators
Architecture and Construction,Construction,47-2141.00,"Painters, Construction and Maintenance"
Architecture and Construction,Construction,47-2142.00,Paperhangers
Architecture and Construction,Construction,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Architecture and Construction,Construction,47-2072.00,Pile-Driver Operators
Architecture and Construction,Construction,47-2152.01,Pipe Fitters and Steamfitters
Architecture and Construction,Construction,47-2151.00,Pipelayers
Architecture and Construction,Construction,47-2161.00,Plasterers and Stucco Masons
Architecture and Construction,Construction,47-2152.02,Plumbers
Architecture and Construction,Construction,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Architecture and Construction,Construction,53-4099.00,"Rail Transportation Workers, All Other"
Architecture and Construction,Construction,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
Architecture and Construction,Construction,53-4031.00,Railroad Conductors and Yardmasters
Architecture and Construction,Construction,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Architecture and Construction,Construction,49-9021.02,Refrigeration Mechanics and Installers
Architecture and Construction,Construction,47-2171.00,Reinforcing Iron and Rebar Workers
Architecture and Construction,Construction,49-9096.00,Riggers
Architecture and Construction,Construction,47-2181.00,Roofers
Architecture and Construction,Construction,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Architecture and Construction,Construction,47-2031.02,Rough Carpenters
Architecture and Construction,Construction,49-2098.00,Security and Fire Alarm Systems Installers
Architecture and Construction,Construction,47-4091.00,Segmental Pavers
Architecture and Construction,Construction,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Architecture and Construction,Construction,47-2211.00,Sheet Metal Workers
Architecture and Construction,Construction,49-9097.00,Signal and Track Switch Repairers
Architecture and Construction,Construction,19-3099.00,"Social Scientists and Related Workers, All Other"
Architecture and Construction,Construction,19-3041.00,Sociologists
Architecture and Construction,Construction,25-1067.00,"Sociology Teachers, Postsecondary"
Architecture and Construction,Construction,47-1011.03,Solar Energy Installation Managers
Architecture and Construction,Construction,47-2231.00,Solar Photovoltaic Installers
Architecture and Construction,Construction,47-4099.02,Solar Thermal Installers and Technicians
Architecture and Construction,Construction,51-8021.00,Stationary Engineers and Boiler Operators
Architecture and Construction,Construction,47-2022.00,Stonemasons
Architecture and Construction,Construction,47-2221.00,Structural Iron and Steel Workers
Architecture and Construction,Construction,51-2041.00,Structural Metal Fabricators and Fitters
Architecture and Construction,Construction,53-4041.00,Subway and Streetcar Operators
Architecture and Construction,Construction,47-2082.00,Tapers
Architecture and Construction,Construction,47-2053.00,Terrazzo Workers and Finishers
Architecture and Construction,Construction,47-2044.00,Tile and Marble Setters
Architecture and Construction,Construction,47-4099.03,Weatherization Installers and Technicians
Architecture and Construction,Construction,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Architecture and Construction,Construction,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Architecture and Construction,Design/Pre-Construction,17-1011.00,"Architects, Except Landscape and Naval"
Architecture and Construction,Design/Pre-Construction,17-3011.00,Architectural and Civil Drafters
Architecture and Construction,Design/Pre-Construction,11-9041.00,Architectural and Engineering Managers
Architecture and Construction,Design/Pre-Construction,17-3011.01,Architectural Drafters
Architecture and Construction,Design/Pre-Construction,25-1031.00,"Architecture Teachers, Postsecondary"
Architecture and Construction,Design/Pre-Construction,17-1021.00,Cartographers and Photogrammetrists
Architecture and Construction,Design/Pre-Construction,17-3011.02,Civil Drafters
Architecture and Construction,Design/Pre-Construction,17-3022.00,Civil Engineering Technicians
Architecture and Construction,Design/Pre-Construction,17-2051.00,Civil Engineers
Architecture and Construction,Design/Pre-Construction,17-3019.00,"Drafters, All Other"
Architecture and Construction,Design/Pre-Construction,17-3012.00,Electrical and Electronics Drafters
Architecture and Construction,Design/Pre-Construction,17-3012.02,Electrical Drafters
Architecture and Construction,Design/Pre-Construction,17-3012.01,Electronic Drafters
Architecture and Construction,Design/Pre-Construction,25-1032.00,"Engineering Teachers, Postsecondary"
Architecture and Construction,Design/Pre-Construction,17-3029.00,"Engineering Technicians, Except Drafters, All Other"
Architecture and Construction,Design/Pre-Construction,17-2199.00,"Engineers, All Other"
Architecture and Construction,Design/Pre-Construction,19-3093.00,Historians
Architecture and Construction,Design/Pre-Construction,27-1025.00,Interior Designers
Architecture and Construction,Design/Pre-Construction,17-1012.00,Landscape Architects
Architecture and Construction,Design/Pre-Construction,17-3013.00,Mechanical Drafters
Architecture and Construction,Design/Pre-Construction,15-2031.00,Operations Research Analysts
Architecture and Construction,Design/Pre-Construction,15-1133.00,"Software Developers, Systems Software"
Architecture and Construction,Design/Pre-Construction,17-3031.00,Surveying and Mapping Technicians
Architecture and Construction,Design/Pre-Construction,17-3031.01,Surveying Technicians
Architecture and Construction,Design/Pre-Construction,17-1022.00,Surveyors
Architecture and Construction,Maintenance/Operations,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Architecture and Construction,Maintenance/Operations,47-4099.00,"Construction and Related Workers, All Other"
Architecture and Construction,Maintenance/Operations,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Architecture and Construction,Maintenance/Operations,49-9099.01,Geothermal Technicians
Architecture and Construction,Maintenance/Operations,49-9021.01,Heating and Air Conditioning Mechanics and Installers
Architecture and Construction,Maintenance/Operations,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Architecture and Construction,Maintenance/Operations,47-4051.00,Highway Maintenance Workers
Architecture and Construction,Maintenance/Operations,49-9031.00,Home Appliance Repairers
Architecture and Construction,Maintenance/Operations,37-3011.00,Landscaping and Groundskeeping Workers
Architecture and Construction,Maintenance/Operations,49-9011.00,Mechanical Door Repairers
Architecture and Construction,Maintenance/Operations,49-9021.02,Refrigeration Mechanics and Installers
Architecture and Construction,Maintenance/Operations,49-2098.00,Security and Fire Alarm Systems Installers
Architecture and Construction,Maintenance/Operations,51-8021.00,Stationary Engineers and Boiler Operators
Architecture and Construction,Maintenance/Operations,49-9081.00,Wind Turbine Service Technicians
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,25-4011.00,Archivists
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,27-1019.00,"Artists and Related Workers, All Other"
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,27-4011.00,Audio and Video Equipment Technicians
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,27-4012.00,Broadcast Technicians
"Arts, Audio/Video Technology and Communications",Audio and Video Technology and Film,49-9061.00,Camera and Photographic Equipment Repairers
